Waybill,Customer ID,Order Date,Parcel KG,Courier Charge,Sales amount,Pickup Point ID
PAR4068716939,CUS1001,2022/03/28,2,,60,pup673
PAR4068755135,NA,2022/03/16,3,,60,pup783
PAR4091138495,CUS1003,2022/03/15,1,42.16,45,pup3045
PAR4068738462,CUS1004,2022/03/10,2,217.58,259,pup2267
PAR4068700996,CUS1005,2022/03/17,3,73.83,105,pup909
PAR4091171840,CUS1006,2022/03/16,2,84.39,88,pup2101
PAR4091164988,CUS1007,2022/03/29,4,53.3,68,pup4099
PAR4068767204,CUS1008,2022/03/16,1,42.16,63,pup438
PAR4091148200,CUS1009,2022/03/10,2,84.39,120,pup2343
PAR4068768193,CUS1010,2022/03/09,1,42.16,48,pup282
PAR4091193631,CUS1011,2022/03/11,3,53.3,76,pup3736
PAR4091157182,CUS1012,2022/03/31,1,53.3,59,pup1967
PAR4091153340,CUS1013,2022/03/10,2,84.39,124,pup2288
PAR4068714413,CUS1014,2022/03/30,1,42.16,57,pup1434
PAR4091112982,CUS1015,2022/03/15,2,,60,pup2012
PAR4091186389,CUS1016,2022/03/29,1,42.16,46,pup1942
PAR4091176461,CUS1017,2022/03/17,2,53.3,78,pup563
PAR4091189751,CUS1018,2022/03/12,3,73.83,83,pup4529
PAR4091161147,CUS1019,2022/03/15,1,53.3,60,pup681
PAR4091138051,CUS1020,2022/03/14,3,84.39,117,pup3569
PAR4068749504,CUS1021,2022/03/29,2,53.3,67,pup527
PAR4091183842,CUS1022,2022/03/10,2,53.3,58,pup2716
PAR4068790320,CUS1023,2022/03/28,1,42.16,55,pup911
PAR4068712022,CUS1024,2022/03/09,1,42.16,43,pup867
PAR4068722769,CUS1025,2022/03/25,1,73.83,87,pup187
PAR4091177244,CUS1026,2022/03/22,2,53.3,69,pup1963
PAR4068737144,CUS1027,2022/03/29,1,53.3,72,pup1956
PAR4091192621,CUS1027,2022/03/24,1,53.3,69,pup521
PAR4091197964,CUS1027,2022/03/09,1,42.16,54,pup3734
PAR4091197964,CUS1027,2022/03/17,1,,60,pup1546
PAR4091127636,CUS1031,2022/03/09,1,42.16,63,pup2011
PAR4068712681,CUS1032,2022/03/23,2,,60,pup3618
PAR4068720040,CUS1033,2022/03/17,2,53.3,54,pup4140
PAR4091158392,CUS1034,2022/03/10,4,73.83,96,pup4250
PAR4091184313,CUS1035,2022/03/22,2,53.3,69,pup3762
PAR4068781994,CUS1036,2022/03/22,3,73.83,103,pup665
PAR4068740395,CUS1037,2022/03/17,6,84.39,105,pup2615
PAR4091123837,CUS1037,2022/03/28,5,84.39,96,pup2119
PAR4068762946,CUS1039,2022/03/23,2,53.3,75,pup715
PAR4091155432,CUS1040,2022/03/11,3,53.3,54,pup1458
PAR4068792651,CUS1041,2022/03/29,1,53.3,72,pup1289
PAR4091193257,CUS1042,2022/03/31,2,53.3,76,pup767
PAR4091152696,CUS1043,2022/03/29,1,42.16,54,pup2789
PAR4091144551,CUS1044,2022/03/11,3,,60,pup1494
PAR4091186726,CUS1045,2022/03/09,2,42.16,63,pup3060
PAR4068724334,CUS1046,2022/03/18,4,42.16,62,pup2333
PAR4091117306,CUS1047,2022/03/15,2,53.3,72,pup569
PAR4091151939,CUS1048,2022/03/11,1,84.39,88,pup405
PAR4091187033,CUS1049,2022/03/11,3,,60,pup521
PAR4091144909,CUS1050,2022/03/17,3,,60,pup3772
PAR4068732410,CUS1051,2022/03/17,3,,60,pup2037
PAR4068785710,CUS1052,2022/03/25,3,73.83,91,pup3693
PAR4091136792,CUS1053,2022/03/17,2,42.16,60,pup711
PAR4068766295,CUS1054,2022/03/25,1,53.3,57,pup4601
PAR4091150179,CUS1055,2022/03/15,3,,60,pup2905
PAR4091125894,CUS1056,2022/03/22,2,53.3,68,pup52
PAR4091103885,CUS1057,2022/03/11,2,,60,pup2026
PAR4068774555,CUS1058,2022/03/23,3,84.39,87,pup3192
PAR4068702366,CUS1059,2022/03/31,1,53.3,65,pup3164
PAR4068777290,CUS1060,2022/03/09,3,42.16,50,pup628
PAR4068777290,CUS1060,2022/03/14,3,,60,pup3154
PAR4091187564,CUS1062,2022/03/09,1,42.16,53,pup3739
PAR4068794769,CUS1063,2022/03/28,2,,60,pup1907
PAR4091100516,CUS1064,2022/03/17,1,53.3,70,pup2970
PAR4068720299,CUS1065,2022/03/14,1,73.83,99,pup2104
PAR4068749040,CUS1066,2022/03/24,1,84.39,100,pup1126
PAR4091151951,CUS1066,2022/03/29,1,84.39,106,pup2788
PAR4068710045,CUS1068,2022/03/23,3,84.39,119,pup4653
PAR4091150842,CUS1069,2022/03/29,2,53.3,57,pup2175
PAR4068751066,CUS1070,2022/03/26,4,84.39,100,pup3295
PAR4091121900,CUS1070,2022/03/14,2,84.39,103,pup2014
PAR4091123742,CUS1072,2022/03/28,3,84.39,126,pup745
PAR4091132242,CUS1073,2022/03/10,2,84.39,94,pup543
PAR4091196836,CUS1074,2022/03/18,4,217.58,267,pup755
PAR4091180204,CUS1075,2022/03/31,1,84.39,118,pup2782
PAR4068780114,CUS1076,2022/03/12,3,73.83,100,pup1594
PAR4068741237,CUS1077,2022/03/14,1,42.16,50,pup4275
PAR4091197634,CUS1078,2022/03/16,2,,60,pup2400
PAR4091151055,CUS1079,2022/03/11,4,73.83,108,pup3080
PAR4091159976,CUS1080,2022/03/28,4,,60,pup3089
PAR4068738269,CUS1081,2022/03/15,3,217.58,305,pup438
PAR4091177075,CUS1082,2022/03/19,6,84.39,118,pup2541
PAR4091147211,CUS1083,2022/03/17,3,84.39,104,pup3058
PAR4091166226,CUS1084,2022/03/16,5,84.39,101,pup4536
PAR4068723050,CUS1085,2022/03/14,2,53.3,65,pup611
PAR4068727158,CUS1086,2022/03/18,2,53.3,60,pup3618
PAR4068781789,CUS1087,2022/03/31,4,42.16,61,pup490
PAR2081696454,CUS1088,2022/03/23,1,84.39,89,pup2725
PAR4091111730,CUS1089,2022/03/09,2,42.16,44,pup25
PAR4091117622,CUS1090,2022/03/12,2,84.39,120,pup3134
PAR4091115044,CUS1091,2022/03/16,5,73.83,79,pup4274
PAR4091122870,CUS1092,2022/03/19,3,,60,pup3709
PAR4068711834,CUS1093,2022/03/24,3,73.83,95,pup2719
PAR4068703223,CUS1094,2022/03/30,4,,60,pup618
PAR4091101263,CUS1095,2022/03/31,2,73.83,87,pup2775
PAR4091120986,CUS1096,2022/03/24,2,84.39,106,pup2987
PAR4068784562,CUS1097,2022/03/09,1,84.39,113,pup2746
PAR4091176246,CUS1098,2022/03/25,2,53.3,70,pup3537
PAR4091185294,CUS1098,2022/03/10,9,53.3,64,pup3239
PAR4091177644,CUS1100,2022/03/14,5,53.3,57,pup606
PAR4068742614,CUS1101,2022/03/24,4,,60,pup781
PAR4091145083,CUS1102,2022/03/31,2,73.83,79,pup2073
PAR4091191999,CUS1102,2022/03/23,2,73.83,88,pup681
PAR4068746086,CUS1104,2022/03/18,2,,60,pup528
